"Grocery products, Australia, quarterly and annual movement (%)"
,"Change from previous quarter (%)","Annual change (%)"
"Bread and cereal products","3.4","12.2"
"Meat and seafoods","1.0","8.2"
"Dairy and related products","4.2","14.9"
"Fruit and vegetables","-7.3","8.5"
"Other food products","2.7","11.0"
"Non alcoholic beverages","0.7","10.5"
"Non-durable household products","2.3","12.0"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia December Quarter 2022"
