,,"Jun Qtr 2019 to Sep Qtr 2019","Sep Qtr 2018 to Sep Qtr 2019"
"Weighted average of eight capital cities",,"% change","% change"
"All groups CPI",,"0.5","1.7"
"Food and non-alcoholic beverages",,"0.4","2.3"
"Alcohol and tobacco",,"2.0","6.6"
"Clothing and footwear",,"1.5","1.5"
"Housing",,"0.3","0.4"
"Furnishings, household equipment and services",,"1.1","1.8"
"Health",,"-0.2","3.1"
"Transport",,"-0.3","0.7"
"Communication",,"-1.1","-4.1"
"Recreation and culture",,"1.5","1.7"
"Education",,"0.1","2.8"
"Insurance and financial services",,"0.2","0.5"
"CPI analytical series",,,
,"All groups CPI, seasonally adjusted","0.3","1.7"
,"Trimmed mean","0.4","1.6"
,"Weighted median","0.3","1.2"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia September 2019"
