"CPI, Trimmed mean & Weighted median: Annual movement (%)"
,"CPI","Trimmed mean","Weighted median"
"Dec-13","2.7","2.7","2.9"
"Mar-14","2.9","2.7","2.7"
"Jun-14","3","2.8","2.7"
"Sep-14","2.3","2.4","2.6"
"Dec-14","1.7","2.2","2.4"
"Mar-15","1.3","2.3","2.4"
"Jun-15","1.5","2.2","2.3"
"Sep-15","1.5","2.1","2.2"
"Dec-15","1.7","2.1","2"
"Mar-16","1.3","1.7","1.5"
"Jun-16","1","1.6","1.3"
"Sep-16","1.3","1.6","1.1"
"Dec-16","1.5","1.5","1.2"
"Mar-17","2.1","1.7","1.6"
"Jun-17","1.9","1.7","1.9"
"Sep-17","1.8","1.7","2"
"Dec-17","1.9","1.7","1.9"
"Mar-18","1.9","1.7","1.9"
"Jun-18","2.1","1.6","1.9"
"Sep-18","1.9","1.7","1.9"
"Dec-18","1.8","1.8","1.9"
"Mar-19","1.3","1.6","1.5"
"Jun-19","1.6","1.6","1.4"
"Sep-19","1.7","1.6","1.3"
"Dec-19","1.8","1.5","1.2"
"Mar-20","2.2","1.7","1.6"
"Jun-20","-0.3","1.3","1.3"
"Sep-20","0.7","1.2","1.2"
"Dec-20","0.9","1.2","1.4"
"Mar-21","1.1","1.1","1.3"
"Jun-21","3.8","1.6","1.7"
"Sep-21","3","2.1","2.2"
"Dec-21","3.5","2.6","2.7"

"Source: Australian Bureau of Statistics, Consumer Price Index, Australia December 2021"
